"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://neobux.com","3","640","645.66666666667","19.601587237319","625","672","712","716.33333333333","7.586537784494","710","727","411","409.66666666667","9.030811456096","398","420","1000","1000","0","1000","1000","14788","14787.333333333","1.6996731711976","14785","14789","8","8","0","8","8","615","619.66666666667","19.067132861433","599","645","1319","1299.3333333333","28.522895287042","1259","1320","1500","1466.6666666667","47.140452079103","1400","1500","1500","1466.6666666667","47.140452079103","1400","1500","211111_Z0_5T"
"","http://editor.wix.com","3","3664","4712.3333333333","1577.5471114642","3531","6942","4795","5881.6666666667","1658.4396950816","4625","8225","860","856.33333333333","14.522013940528","837","872","1800","2766.6666666667","1438.3632673594","1700","4800","2240695","2299074","84490.288937053","2237976","2418551","121","125.33333333333","6.8475461947247","120","135","3621","4672.6666666667","1577.2157606224","3495","6902","2408","3425.6666666667","1532.041412263","2278","5591","3900","5066.6666666667","1649.9158227686","3900","7400","3900","5066.6666666667","1649.9158227686","3900","7400","211111_82_5V"
"","http://tandfonline.com","3","14711","14458","1403.9793445774","12626","16037","15915","15685","1412.1376231326","13852","17288","551","551","7.3484692283495","542","560","900","866.66666666667","47.140452079103","800","900","1440052","1433323.3333333","9704.4696689492","1419600","1440318","90","90","2.4494897427832","87","93","14665","14413.333333333","1400.619942105","12586","15989","2975","3035.6666666667","534.89521299867","2413","3719","10200","9733.3333333333","3526.4083081169","5200","13800","10200","9733.3333333333","3526.4083081169","5200","13800","211111_PN_5W"
"","http://addthis.com","3","2304","2303","15.937377450509","2283","2322","3145","3162","39.046980250292","3125","3216","528","524.66666666667","17.30767331433","502","544","2100","2066.6666666667","47.140452079103","2000","2100","259578","259578","0","259578","259578","36","35.666666666667","0.47140452079103","35","36","2279","2274.6666666667","19.43078885572","2249","2296","2267","2264","4.9665548085838","2257","2268","3400","3433.3333333333","47.140452079103","3400","3500","3400","3433.3333333333","47.140452079103","3400","3500","211111_AQ_5X"
"","http://yoox.com","3","10045","9881","1592.3142487168","7854","11744","12563","11226.666666667","2178.831542109","8154","12963","280","429.66666666667","224.50884664579","262","747","1300","1400","374.16573867739","1000","1900","1012284","1012082.6666667","551.06281150357","1011330","1012634","73","73","1.6329931618555","71","75","10009","9844.6666666667","1591.1099549965","7819","11706","1600","1668.6666666667","409.50403606748","1205","2201","1700","1800","535.41261347363","1200","2500","1700","1800","535.41261347363","1200","2500","211111_YT_5Y"
"","http://ytmp3.cc","3","11357","11383.333333333","855.48283962268","10349","12444","13061","13062.333333333","40.01943972066","13014","13112","880","1814","1325.8282945641","873","3689","1000","1933.3333333333","1319.9326582149","1000","3800","334526","334452.33333333","940.82245343576","333265","335566","40","40.333333333333","2.0548046676563","38","43","11317","11347.666666667","857.59560529554","10313","12413","1000","1937.3333333333","1325.5895124644","1000","3812","1000","1933.3333333333","1319.9326582149","1000","3800","1000","1933.3333333333","1319.9326582149","1000","3800","211111_97_5Z"
"","http://ouo.io","3","1199","1253.3333333333","97.311641418463","1171","1390","1229","1264.6666666667","73.458983264283","1198","1367","394","407.66666666667","59.979626170522","342","487","1000","1066.6666666667","94.280904158206","1000","1200","587830","587693","609.9087363423","586887","588362","34","33.333333333333","1.6996731711976","31","35","1163","1221.6666666667","101.16103773467","1138","1364","1002","1068.6666666667","94.280904158206","1002","1202","1200","1266.6666666667","94.280904158206","1200","1400","1200","1266.6666666667","94.280904158206","1200","1400","211111_8H_60"
"","http://lancers.jp","3","20361","20664","507.53587722117","20252","21379","22520","22556.333333333","444.50896753859","22031","23118","1146","1242","142.17594733287","1137","1443","7100","7700","848.52813742386","7100","8900","14248830","14251871","7822.5099552509","14244180","14262603","226","226.33333333333","1.2472191289246","225","228","20251","20570","515.34907263589","20162","21297","7171","7735","826.06214455492","7131","8903","8000","8200","588.78405775519","7600","9000","8000","8200","588.78405775519","7600","9000","211111_XS_61"
"","http://files.wordpress.com","3","7686","7980.6666666667","1171.5702663045","6716","9540","12238","11446.666666667","1576.4266202043","9246","12856","339","342.33333333333","15.69146972792","325","363","1800","1833.3333333333","47.140452079103","1800","1900","1324860","1325153.6666667","991.57663456851","1324113","1326488","118","119.33333333333","1.8856180831641","118","122","7642","7938","1168.5249961668","6678","9494","2243","2462.6666666667","383.54515886514","2143","3002","2700","3300","920.14491612282","2600","4600","2700","3300","920.14491612282","2600","4600","211111_DG_62"
"","http://meituan.com","3","8061","6409","2505.0115102863","2869","8297","9655","10109.666666667","850.2302955997","9373","11301","930","940","19.304576314094","923","967","2700","2600","141.42135623731","2400","2700","386316","384259.33333333","3247.3111270027","379675","386787","40","37.333333333333","4.4969125210773","31","41","8022","6371","2504.3206663684","2832","8259","2739","2650.6666666667","137.11876441813","2457","2756","8100","7666.6666666667","758.6537784494","6600","8300","8100","7666.6666666667","758.6537784494","6600","8300","211111_4R_63"
