timestamp,url,URL,TIME,ERROR,Final
2021-12-23T14:29:15.397+05:00,LOADTIME,iqbroker.com,2.074,,2.074
2021-12-23T14:29:25.612+05:00,LOADTIME,ask.com,6.194,,6.194
2021-12-23T14:29:32.545+05:00,LOADTIME,blackboard.com,2.836,,2.836
2021-12-23T14:29:48.966+05:00,LOADTIME,etrade.com,12.387,,12.387
2021-12-23T14:29:59.098+05:00,LOADTIME,gmx.net,6.11,,6.11
2021-12-23T14:30:05.523+05:00,LOADTIME,note.com,2.403,,2.403
2021-12-23T14:30:13.527+05:00,LOADTIME,mercadolivre.com.br,3.981,,3.981
2021-12-23T14:30:29.368+05:00,LOADTIME,11st.co.kr,11.805,,11.805
2021-12-23T14:30:35.272+05:00,LOADTIME,google.co.id,1.881,,1.881
2021-12-23T14:30:42.563+05:00,LOADTIME,web.de,3.268,,3.268
2021-12-23T14:30:52.423+05:00,LOADTIME,dbs.com.sg,5.832,,5.832
2021-12-23T14:31:05.329+05:00,LOADTIME,techcrunch.com,8.882,,8.882
2021-12-23T14:31:14.535+05:00,LOADTIME,pipedrive.com,5.084,,5.084
2021-12-23T14:31:26.658+05:00,LOADTIME,quizlet.com,8.075,,8.075
2021-12-23T14:32:30.714+05:00,TIMEOUT,jianshu.com,60.019,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T14:32:35.678+05:00,LOADTIME,ai.marketing,0.942,,0.942
2021-12-23T14:32:43.669+05:00,LOADTIME,shareasale.com,3.492,,3.492
2021-12-23T14:33:22.974+05:00,LOADTIME,ibicn.com,35.274,,35.274
2021-12-23T14:33:30.573+05:00,LOADTIME,trustpilot.com,3.571,,3.571
2021-12-23T14:33:47.343+05:00,LOADTIME,citi.com,12.733,,12.733
2021-12-23T14:33:54.858+05:00,LOADTIME,codepen.io,3.35,,3.35
2021-12-23T14:34:00.519+05:00,LOADTIME,wikimedia.org,1.64,,1.64
2021-12-23T14:34:09.993+05:00,LOADTIME,dell.com,5.458,,5.458
2021-12-23T14:34:25.575+05:00,LOADTIME,chegg.com,11.522,,11.522
2021-12-23T14:34:33.695+05:00,LOADTIME,surveymonkey.com,4.051,,4.051
2021-12-23T14:34:41.616+05:00,LOADTIME,macys.com,3.873,,3.873
2021-12-23T14:34:54.812+05:00,LOADTIME,vnexpress.net,7.176,,7.176
2021-12-23T14:35:06.590+05:00,LOADTIME,academia.edu,7.646,,7.646
2021-12-23T14:35:12.442+05:00,LOADTIME,wise.com,1.826,,1.826
2021-12-23T14:35:23.786+05:00,LOADTIME,alodokter.com,7.288,,7.288
2021-12-23T14:35:29.142+05:00,LOADTIME,googlevideo.com,1.292,,1.292
2021-12-23T14:35:37.640+05:00,LOADTIME,rakuten.com,4.482,,4.482
2021-12-23T14:35:43.406+05:00,LOADTIME,patch.com,1.722,,1.722
2021-12-23T14:35:49.014+05:00,LOADTIME,google.pl,1.579,,1.579
2021-12-23T14:35:56.117+05:00,LOADTIME,ameblo.jp,3.087,,3.087
2021-12-23T14:36:05.639+05:00,LOADTIME,weebly.com,5.504,,5.504
2021-12-23T14:36:34.195+05:00,LOADTIME,rambler.ru,24.469,,24.469
2021-12-23T14:36:41.487+05:00,LOADTIME,feedly.com,3.139,,3.139
2021-12-23T14:36:46.710+05:00,LOADTIME,videocampaign.co,1.187,,1.187
2021-12-23T14:37:50.744+05:00,TIMEOUT,gusuwang.com,60.019,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T14:37:56.048+05:00,LOADTIME,shopee.com.my,1.284,,1.284
2021-12-23T14:38:05.362+05:00,LOADTIME,td.com,5.271,,5.271
2021-12-23T14:38:11.010+05:00,LOADTIME,360doc.com,1.613,,1.613
2021-12-23T14:38:23.085+05:00,LOADTIME,nike.com,8.057,,8.057
2021-12-23T14:38:27.612+05:00,TIMEOUT,mlb.com,0.485,ERR_SSL_PROTOCOL_ERROR,ERR_SSL_PROTOCOL_ERROR
2021-12-23T14:38:41.487+05:00,LOADTIME,idntimes.com,9.836,,9.836
2021-12-23T14:38:54.960+05:00,LOADTIME,expedia.com,9.367,,9.367
2021-12-23T14:39:02.189+05:00,LOADTIME,ouedkniss.com,3.094,,3.094
2021-12-23T14:39:08.616+05:00,LOADTIME,seekingalpha.com,2.402,,2.402
2021-12-23T14:39:19.944+05:00,LOADTIME,worldometers.info,7.269,,7.269
2021-12-23T14:39:32.949+05:00,LOADTIME,namasha.com,8.86,,8.86
2021-12-23T14:39:44.810+05:00,LOADTIME,patria.org.ve,7.814,,7.814
2021-12-23T14:39:57.440+05:00,LOADTIME,patreon.com,8.603,,8.603
2021-12-23T14:40:10.557+05:00,LOADTIME,constantcontact.com,9.091,,9.091
2021-12-23T14:40:27.403+05:00,LOADTIME,qualtrics.com,12.778,,12.778
2021-12-23T14:40:41.669+05:00,LOADTIME,reuters.com,10.035,,10.035
2021-12-23T14:40:49.676+05:00,LOADTIME,fc2.com,3.864,,3.864
2021-12-23T14:41:02.034+05:00,LOADTIME,lowes.com,8.335,,8.335
2021-12-23T14:41:06.586+05:00,TIMEOUT,heavy.com,0.468,ERR_SSL_PROTOCOL_ERROR,ERR_SSL_PROTOCOL_ERROR
2021-12-23T14:41:12.704+05:00,LOADTIME,costco.com,2.08,,2.08
2021-12-23T14:41:19.746+05:00,LOADTIME,rt.com,3.021,,3.021
2021-12-23T14:41:25.867+05:00,LOADTIME,ebay-kleinanzeigen.de,2.095,,2.095
2021-12-23T14:41:38.548+05:00,LOADTIME,att.com,8.657,,8.657
2021-12-23T14:41:48.213+05:00,LOADTIME,smartsheet.com,5.391,,5.391
2021-12-23T14:42:00.270+05:00,LOADTIME,redfin.com,7.984,,7.984
2021-12-23T14:42:39.482+05:00,LOADTIME,wowhead.com,35.179,,35.179
2021-12-23T14:42:59.104+05:00,LOADTIME,aa.com,15.517,,15.517
2021-12-23T14:43:12.031+05:00,LOADTIME,canada.ca,8.749,,8.749
2021-12-23T14:43:28.393+05:00,LOADTIME,shein.com,12.338,,12.338
2021-12-23T14:43:35.884+05:00,LOADTIME,turkiye.gov.tr,3.37,,3.37
2021-12-23T14:43:45.054+05:00,LOADTIME,zoho.com,5.148,,5.148
