time,power_consumption.power,,
2021-12-23T22:14:17.663+05:00,1.975560929,LOADTIME|amazon.ca|3.057,2021-12-23T22:14:15.081+05:00
2021-12-23T22:14:18.165+05:00,0.572201929,LOADTIME|amazon.ca|3.057,2021-12-23T22:14:15.081+05:00
2021-12-23T22:14:18.666+05:00,0,LOADTIME|amazon.ca|3.057,2021-12-23T22:14:15.081+05:00
2021-12-23T22:14:19.167+05:00,9.823874849,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:19.668+05:00,0,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:20.169+05:00,0.32305298,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:20.671+05:00,0,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:21.172+05:00,0.424595155,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:21.674+05:00,0,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:22.175+05:00,0.453336107,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:22.677+05:00,0.064479479,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:23.178+05:00,0.299414988,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:23.679+05:00,0.06637923,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:24.181+05:00,0.396081022,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:24.683+05:00,0,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:25.184+05:00,0.413481319,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:25.685+05:00,0.3753484,fedex.com,2021-12-23T22:14:19.111+05:00
2021-12-23T22:14:26.187+05:00,0.728502778,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:26.693+05:00,0.031015834,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:27.196+05:00,1.879114239,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:27.699+05:00,0,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:28.201+05:00,0.380772917,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:28.704+05:00,0.769790546,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:29.207+05:00,0.280695597,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:29.709+05:00,0.059303532,LOADTIME|fedex.com|6.961,2021-12-23T22:14:26.072+05:00
2021-12-23T22:14:30.212+05:00,0.394327143,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:30.714+05:00,0.034136061,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:31.216+05:00,0.385595209,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:31.718+05:00,0.14311071,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:32.219+05:00,0.483191744,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:32.720+05:00,0,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:33.221+05:00,0.39348176,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:33.722+05:00,0,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:34.224+05:00,0.357075308,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:34.725+05:00,0,bbc.co.uk,2021-12-23T22:14:30.109+05:00
