"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"188.125.72.139","","435","248","1000012694.32","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","248","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","93","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","93","1000012694.32","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2973","2725","2973","2973","2973","0","2725","2973","248","20","21","1","0","13","110","True","11","","","","","","","",
"188.125.72.139","","435","247","1000012694.34","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","247","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","97","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","97","1000012694.34","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2972","2725","2972","2972","2972","0","2725","2972","247","21","22","1","0","15","110","True","13","","","","","","","",
"188.125.72.139","","435","244","1000012694.36","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","244","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","94","1000012694.36","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2969","2725","2969","2969","2969","0","2725","2969","244","22","23","1","0","17","110","True","15","","","","","","","",
"188.125.72.139","","435","266","1000012694.38","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","266","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","94","1000012694.38","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2991","2725","2991","2991","2991","0","2725","2991","266","23","24","1","0","19","110","True","17","","","","","","","",
"188.125.72.139","","435","266","1000012694.40","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","266","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","94","1000012694.40","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2991","2725","2991","2991","2991","0","2725","2991","266","24","25","1","0","21","110","True","19","","","","","","","",
"188.125.72.139","","435","265","1000012694.42","","","no-store, no-cache, private, max-age=0","-1","211011_ZZ_1Z","-1","IDLE","","","-1","265","-1","-1","-1","","2725","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","csp.yahoo.com","94","1000012694.42","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2990","2725","2990","2990","2990","0","2725","2990","265","25","26","1","0","23","110","True","21","","","","","","","",
"87.248.118.23","","385","47","1000012694.29","0","","","0","211011_ZZ_1Z","-1","LOWEST","42","","-1","47","0","-1","100","0","2779","","HTTP/2","-1","3","https://dns-lko7eo1yl.sombrero.yahoo.net/pixel.gif","-1","42","","","image/gif","Low","","","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","dns-lko7eo1yl.sombrero.yahoo.net","267","1000012694.29","","100","1","-1","","-1","","-1","165","/pixel.gif","-1","","GET","-1","-1","","200","-1","","","2826","2779","2826","2826","2826","0","2779","2826","47","26","27","1","0","15","","","","","42","","","","","",
"77.238.180.76","","377","57","1000012694.25","","","no-store","-1","211011_ZZ_1Z","2777","LOWEST","","","-1","57","-1","2777","-1","","2897","443","HTTP/2","-1","3","https://v-bvapy9oqr1.wc.yahoodns.net/i.gif","2897","212","","ssl/v-bvapy9oqr1.wc.yahoodns.net:443","","Low","","","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","v-bvapy9oqr1.wc.yahoodns.net","212","1000012694.25","","-1","1","2720","","-1","","51","321","/i.gif","2828","34138","GET","57","2828","","204","69","","","2954","2897","2954","2954","2954","0","2720","2954","234","27","28","1","0","","","","","","","","","","","",
"99.86.245.183","","395","44","1000012694.31","0","","","100","211011_ZZ_1Z","2796","LOWEST","42","","-1","44","0","2796","100","0","2907","443","HTTP/2","-1","3","https://d1vl8wytztdz.cloudfront.net/pixel.gif?rand=7hklqnobs","2907","42","","ssl/d1vl8wytztdz.cloudfront.net:443","image/gif","Low","","","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","d1vl8wytztdz.cloudfront.net","404","1000012694.31","","100","1","2724","","-1","","53","332","/pixel.gif?rand=7hklqnobs","2849","52518","GET","72","2849","","200","58","","Amazon CloudFront","2951","2907","2951","2951","2951","0","2724","2951","227","28","29","1","0","1","147","True","0","","42","","","","","",
"87.248.118.23","","398","56","1000012694.33","0","","public, max-age=86400","0","211011_ZZ_1Z","2794","LOWEST","42","","-1","56","50","2794","100","78182","2919","443","HTTP/2","-1","3","https://cerebro.edna.yahoo.net/noquery/pixel.gif?rand=n5p5imr7k","2918","42","","ssl/cerebro.edna.yahoo.net:443","image/gif","Low","","","-1","-1","other","E3A94F903DF988E5CDC602FB3CD94938","cerebro.edna.yahoo.net","541","1000012694.33","","100","1","2724","","-1","","64","331","/noquery/pixel.gif?rand=n5p5imr7k","2858","37070","GET","70","2858","","200","60","","","2975","2919","2975","2975","2975","0","2724","2975","250","29","30","1","0","1","147","True","0","","42","","","","","",
