"ip_addr","initiator_line","bytesOut","load_ms","final_base_page","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","objectSizeUncompressed","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","is_base_page","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","cpu.EvaluateScript","index","number","run","cached","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"202.108.119.193","428","394","2147","","1000024777.28","85042","","","0","211011_FT_24","-1","LOWEST","257955","","-1","315","0","-1","67","0","270662","1432","80","http/1.1","100","3","http://xinhuanet.com/titlepic/112794/1127945941_1633950227308_title0h.jpg","-1","257955","257955","xinhuanet.com:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","258264","1000024777.28","0","100","0","-1","","-1","http://xinhuanet.com/","-1","106","/titlepic/112794/1127945941_1633950227308_title0h.jpg","-1","39790","GET","-1","-1","","200","-1","gzip","","","3579","1432","1747","1747","3579","1832","1432","3579","2147","","20","21","1","0","","100","7",
"202.108.119.193","1469","334","349","","1000024777.45","","","","0","211011_FT_24","-1","LOW","","","-1","342","0","-1","-1","0","30182","1668","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/scripts/index.js","-1","7083","7083","xinhuanet.com:80","application/javascript","Medium","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","7400","1000024777.45","0","100","0","-1","","-1","http://xinhuanet.com/","-1","108","/2021homepro/scripts/index.js","-1","39792","GET","-1","-1","","200","-1","gzip","","","2017","1668","2010","2010","2017","7","1668","2017","349","3","21","22","1","0","4","","",
"202.108.119.193","1472","334","343","","1000024777.46","","","","0","211011_FT_24","-1","LOW","","","-1","342","0","-1","-1","0","613","1826","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/scripts/alert.js","-1","436","436","xinhuanet.com:80","application/javascript","Medium","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","751","1000024777.46","0","100","0","-1","","-1","http://xinhuanet.com/","-1","228","/2021homepro/scripts/alert.js","-1","39822","GET","-1","-1","","200","-1","gzip","","","2169","1826","2168","2168","2169","1","1826","2169","343","0","22","23","1","0","","","",
"202.108.119.193","439","394","1747","","1000024777.29","11580","","","0","211011_FT_24","-1","LOWEST","28313","","-1","237","0","-1","59","0","34062","2019","80","http/1.1","100","3","http://xinhuanet.com/titlepic/112794/1127944983_1633919983578_title0h.jpg","-1","28313","28313","xinhuanet.com:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","28620","1000024777.29","0","100","0","-1","","-1","http://xinhuanet.com/","-1","108","/titlepic/112794/1127944983_1633919983578_title0h.jpg","-1","39792","GET","-1","-1","","200","-1","gzip","","","3766","2019","2256","2256","3766","1510","2019","3766","1747","","23","24","1","0","","100","14",
"202.108.119.193","450","375","1095","","1000024777.30","0","","","0","211011_FT_24","-1","LOWEST","25562","","-1","226","0","-1","100","0","25775","2170","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/images/globallink.png","-1","25562","25562","xinhuanet.com:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","25868","1000024777.30","0","100","0","-1","","-1","http://xinhuanet.com/","-1","228","/2021homepro/images/globallink.png","-1","39822","GET","-1","-1","","200","-1","gzip","","","3265","2170","2396","2396","3265","869","2170","3265","1095","","24","25","1","0","","","",
"203.192.2.70","1477","323","1053","","1000024777.48","","","public, max-age=604800","0","211011_FT_24","1822","MEDIUM","","","-1","404","100","1822","-1","604800","8183","2212","80","http/1.1","100","3","http://webd.home.news.cn/webdig.js?z=1","-1","4557","4557","webd.home.news.cn:80","text/javascript","Medium","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","webd.home.news.cn","4840","1000024777.48","0","100","0","1435","","-1","http://xinhuanet.com/","390","288","/webdig.js?z=1","-1","34004","GET","387","2212","","200","-1","gzip","","","3265","2212","2616","2616","3265","649","1435","3265","1830","3","25","26","1","0","","","",
"202.108.119.193","464","394","962","","1000024777.31","20158","","","0","211011_FT_24","-1","LOWEST","32608","","-1","329","0","-1","38","0","33021","2294","80","http/1.1","100","3","http://xinhuanet.com/titlepic/112721/1127210169_1618283747296_title0h.jpg","-1","32608","32608","xinhuanet.com:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","32915","1000024777.31","0","100","0","-1","","-1","http://xinhuanet.com/","-1","105","/titlepic/112721/1127210169_1618283747296_title0h.jpg","-1","39788","GET","-1","-1","","200","-1","gzip","","","3256","2294","2623","2623","3256","633","2294","3256","962","","26","27","1","0","","0","1",
"27.148.149.224","1466","313","476","","1000024777.44","","","","0","211011_FT_24","1976","MEDIUM","","","-1","471","0","1976","-1","0","21535","2295","80","http/1.1","100","3","http://a2.news.cn/js/xadn.js","-1","6637","6637","a2.news.cn:80","application/javascript","Medium","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","a2.news.cn","7256","1000024777.44","0","100","0","1434","","-1","http://xinhuanet.com/","319","295","/js/xadn.js","-1","39876","GET","542","2295","","200","-1","gzip","","","2771","2295","2766","2766","2771","5","1434","2771","1337","6","27","28","1","0","5","","",
"27.148.149.224","1475","320","520","","1000024777.47","","","","0","211011_FT_24","-1","MEDIUM","","","-1","513","0","1976","-1","0","21088","2313","80","http/1.1","100","3","http://a2.news.cn/js/xadndelayed.js","-1","6551","6551","a2.news.cn:80","application/javascript","Medium","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","a2.news.cn","7169","1000024777.47","0","100","0","-1","","-1","http://xinhuanet.com/","337","296","/js/xadndelayed.js","-1","39878","GET","-1","2313","","200","-1","gzip","","","2833","2313","2826","2826","2833","7","1976","2833","857","39","28","29","1","0","23","","",
"47.246.44.224","88","397","212","","1000024777.59","0","","","100","211011_FT_24","-1","MEDIUM","1540","","-1","211","0","-1","100","0","1540","2440","80","http/1.1","-1","3","http://www.news.cn/2021homepro/images/slogan.png","-1","1540","","www.news.cn:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","2206","1000024777.59","","100","0","-1","","-1","http://xinhuanet.com/","-1","208","/2021homepro/images/slogan.png","-1","56498","GET","-1","-1","","200","-1","","","ChinaNetCenter","2652","2440","2651","2651","2652","1","2440","2652","212","","29","30","1","0","","","",
"47.246.44.224","1451","400","505","","1000024777.80","0","","","100","211011_FT_24","-1","LOWEST","25410","","-1","171","0","-1","100","0","27539","2487","80","http/1.1","100","3","http://www.news.cn/2021homepro/images/govern-bg.png","-1","25410","25410","www.news.cn:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","26043","1000024777.80","0","100","0","-1","","-1","http://xinhuanet.com/","-1","207","/2021homepro/images/govern-bg.png","-1","56496","GET","-1","-1","","200","-1","gzip","","ChinaNetCenter","2992","2487","2658","2658","2992","334","2487","2992","505","","30","31","1","0","","","",
"47.246.44.224","1451","407","391","","1000024777.81","0","","","100","211011_FT_24","-1","LOWEST","358","","-1","391","0","-1","100","0","399","2641","80","http/1.1","100","3","http://www.news.cn/2021homepro/images/icon-govern-line.png","-1","358","358","www.news.cn:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","1026","1000024777.81","0","100","0","-1","","-1","http://xinhuanet.com/","-1","204","/2021homepro/images/icon-govern-line.png","-1","56490","GET","-1","-1","","200","-1","gzip","","ChinaNetCenter","3032","2641","3032","3032","3032","0","2641","3032","391","","31","32","1","0","","","",
"47.246.44.224","1451","400","409","","1000024777.97","0","","","100","211011_FT_24","-1","LOWEST","1353","","-1","409","0","-1","100","0","1318","2641","80","http/1.1","100","3","http://www.news.cn/2021homepro/images/hot-title.png","-1","1353","1353","www.news.cn:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","2020","1000024777.97","0","100","0","-1","","-1","http://xinhuanet.com/","-1","206","/2021homepro/images/hot-title.png","-1","56494","GET","-1","-1","","200","-1","gzip","","ChinaNetCenter","3050","2641","3050","3050","3050","0","2641","3050","409","","32","33","1","0","","","",
"47.246.44.224","1451","404","884","","1000024777.103","0","","","100","211011_FT_24","-1","MEDIUM","29154","","-1","366","0","-1","100","0","29228","2641","80","http/1.1","100","3","http://www.news.cn/2021homepro/images/head-xxjxs-bg.png","-1","29154","29154","www.news.cn:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","29826","1000024777.103","0","100","0","-1","","-1","http://xinhuanet.com/","-1","205","/2021homepro/images/head-xxjxs-bg.png","-1","56492","GET","-1","-1","","200","-1","gzip","","ChinaNetCenter","3525","2641","3007","3007","3525","518","2641","3525","884","","33","34","1","0","","","",
"47.246.44.224","1451","399","466","","1000024777.107","0","","","100","211011_FT_24","-1","LOWEST","5045","","-1","465","0","-1","100","0","5045","2835","80","http/1.1","-1","3","http://www.news.cn/2021homepro/images/radio-bg.jpg","-1","5045","","www.news.cn:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","5719","1000024777.107","","100","0","-1","","-1","http://xinhuanet.com/","-1","208","/2021homepro/images/radio-bg.jpg","-1","56498","GET","-1","-1","","200","-1","","","ChinaNetCenter","3301","2835","3300","3300","3301","1","2835","3301","466","","34","35","1","0","","50","1",
"47.246.44.224","1451","398","537","","1000024777.114","0","","","100","211011_FT_24","-1","LOWEST","1771","","-1","537","0","-1","100","0","1794","2993","80","http/1.1","100","3","http://www.news.cn/2021homepro/images/live-bg.jpg","-1","1771","1771","www.news.cn:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","2441","1000024777.114","0","100","0","-1","","-1","http://xinhuanet.com/","-1","207","/2021homepro/images/live-bg.jpg","-1","56496","GET","-1","-1","","200","-1","gzip","","ChinaNetCenter","3530","2993","3530","3530","3530","0","2993","3530","537","","35","36","1","0","","50","1",
"47.246.44.224","1451","395","554","","1000024777.115","0","","","100","211011_FT_24","-1","LOWEST","5183","","-1","548","0","-1","100","0","5148","2993","80","http/1.1","100","3","http://www.news.cn/2021homepro/images/live.png","-1","5183","5183","www.news.cn:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","5854","1000024777.115","0","100","0","-1","","-1","http://xinhuanet.com/","-1","203","/2021homepro/images/live.png","-1","56488","GET","-1","-1","","200","-1","gzip","","ChinaNetCenter","3547","2993","3541","3541","3547","6","2993","3547","554","","36","37","1","0","","","",
"47.246.44.224","1451","400","532","","1000024777.119","0","","","100","211011_FT_24","-1","LOWEST","1641","","-1","532","0","-1","100","0","1671","3052","80","http/1.1","100","3","http://www.news.cn/2021homepro/images/nolive-bg.jpg","-1","1641","1641","www.news.cn:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","2314","1000024777.119","0","100","0","-1","","-1","http://xinhuanet.com/","-1","206","/2021homepro/images/nolive-bg.jpg","-1","56494","GET","-1","-1","","200","-1","gzip","","ChinaNetCenter","3584","3052","3584","3584","3584","0","3052","3584","532","","37","38","1","0","","50","1",
"202.108.119.193","1451","402","599","","1000024777.82","0","","","0","211011_FT_24","-1","MEDIUM","1496","","-1","599","0","-1","100","0","1884","3259","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/images/icon-lazy.jpg","-1","1496","1496","xinhuanet.com:80","image/jpeg","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","1801","1000024777.82","0","100","0","-1","","-1","http://xinhuanet.com/","-1","105","/2021homepro/images/icon-lazy.jpg","-1","39788","GET","-1","-1","","200","-1","gzip","","","3858","3259","3858","3858","3858","0","3259","3858","599","","38","39","1","0","","50","1",
"202.108.119.193","558","378","803","","1000024777.42","0","","","0","211011_FT_24","-1","MEDIUM","5528","","-1","589","0","-1","100","0","5779","3265","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/images/head-xxjxs-01.png","-1","5528","5528","xinhuanet.com:80","image/png","Low","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","5833","1000024777.42","0","100","0","-1","","-1","http://xinhuanet.com/","-1","228","/2021homepro/images/head-xxjxs-01.png","-1","39822","GET","-1","-1","","200","-1","gzip","","","4068","3265","3854","3854","4068","214","3265","4068","803","","39","40","1","0","","","",
