time,power_consumption.power,,
2021-12-23T02:38:55.192+05:00,0.047742028,kontan.co.id,2021-12-23T02:38:42.536+05:00
2021-12-23T02:38:55.695+05:00,0.161527204,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:56.198+05:00,0,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:56.699+05:00,0,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:57.200+05:00,0,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:57.702+05:00,0.255210558,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:58.203+05:00,20.01396598,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:58.706+05:00,5.126439904,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:59.210+05:00,0,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:38:59.713+05:00,0.025661287,LOADTIME|kontan.co.id|13.06,2021-12-23T02:38:55.596+05:00
2021-12-23T02:39:00.216+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:00.719+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:01.222+05:00,0.010679828,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:01.724+05:00,0.708306795,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:02.227+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:02.729+05:00,0.044534341,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:03.231+05:00,0.336609233,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:03.732+05:00,0.102293858,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:04.234+05:00,0.360508156,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:04.736+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:05.238+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:05.741+05:00,0.020146331,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:06.244+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:06.745+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:07.247+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:07.749+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:08.251+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:08.753+05:00,1.01093764,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:09.261+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
