time,power_consumption.power,,
2021-12-23T02:28:00.868+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:01.372+05:00,0.032094696,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:01.875+05:00,0.00789565,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:02.386+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:02.888+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:03.392+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:03.896+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:04.399+05:00,0.119102761,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:04.902+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:05.406+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:05.908+05:00,0.010518166,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:06.410+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:06.913+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:07.415+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:07.917+05:00,0.015786515,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:08.420+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:08.923+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:09.426+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:09.927+05:00,0.214477318,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:10.430+05:00,0.153986881,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:10.933+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:11.436+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:11.939+05:00,0.008418523,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:12.443+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:12.946+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:13.449+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
