time,power_consumption.power,URL,Opening Time,Sum of sensor readings,count of sensor readings,average of sensor readings
2021-10-26T17:40:59.261+05:00,12.79067266,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:40:59.763+05:00,5.001114667,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:00.264+05:00,8.838442614,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:00.765+05:00,3.024201625,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:01.267+05:00,11.12576322,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:01.769+05:00,10.34290159,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:02.270+05:00,5.000679511,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:02.771+05:00,4.277112678,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:03.272+05:00,3.756969436,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:03.774+05:00,4.081286596,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:04.276+05:00,3.844731474,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:04.778+05:00,2.788894008,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:05.279+05:00,4.542411573,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:05.781+05:00,4.465525293,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:06.296+05:00,4.535180084,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:06.797+05:00,2.563329185,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:07.298+05:00,3.299354997,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:07.799+05:00,9.674455484,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:08.302+05:00,1.280574136,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:08.803+05:00,0.096857465,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:09.306+05:00,0.442928993,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:09.808+05:00,0.324563927,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:10.311+05:00,0.909916733,namasha.com,2021-10-26T17:40:52.592+0500,,,-
2021-10-26T17:41:10.812+05:00,9.379980077,patria.org.ve,2021-10-26T17:41:10.650+0500,94.09835438,36,2.613843177
2021-10-26T17:41:11.314+05:00,2.291758805,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
