"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"45.57.91.1","3","534","1621","1000006863.40","","","max-age=604801","0","211011_ZF_3R","-1","HIGHEST","","","-1","440","100","1645","-1","604801","1978","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Md.woff2","1978","53940","","pm/ssl/assets.nflxext.com:443","font/woff2","VeryHigh","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","54294","1000006863.40","","100","1","-1","","-1","https://www.netflix.com/cz-en/","103","276","/ffe/siteui/fonts/netflix-sans/v3/NetflixSans_W_Md.woff2","1749","56796","GET","-1","1748","","200","229","","","3599","1978","2418","2418","3599","1181","1645","3599","1953","20","21","1","0","","","","","53940","","","","","","","",
"45.57.91.1","3","517","1765","1000006863.46","","","max-age=604801","0","211011_ZF_3R","-1","HIGHEST","","","-1","492","100","1645","-1","604801","1983","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/fonts/nf-icon-v1-93.woff","1983","73572","","pm/ssl/assets.nflxext.com:443","font/woff","VeryHigh","","Mon, 18 Oct 2021 19:57:42 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","73925","1000006863.46","","100","1","-1","","-1","https://www.netflix.com/cz-en/","103","275","/ffe/siteui/fonts/nf-icon-v1-93.woff","1749","56794","GET","-1","1748","","200","234","","","3748","1983","2475","2475","3748","1273","1645","3748","2102","21","22","1","0","","","","","73572","","","","","","","",
"104.20.184.68","0","368","582","1000006863.70","","","","100","211011_ZF_3R","1953","LOWEST","","","-1","582","0","1953","-1","0","2865","443","HTTP/2","100","3","https://geolocation.onetrust.com/cookieconsentpub/v1/geo/location","2865","397","397","ssl/geolocation.onetrust.com:443","text/javascript","Low","7620","","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","geolocation.onetrust.com","397","1000006863.70","0","100","1","1763","","-1","https://cdn.cookielaw.org/scripttemplates/otSDKStub.js","309","291","/cookieconsentpub/v1/geo/location","2262","36074","GET","190","2262","","200","603","gzip","Cloudflare","3447","2865","3447","3447","3447","0","1763","3447","1684","22","23","1","0","1","147","True","0","197","","","2","","se.jsonp","","",
"45.57.91.1","3","547","519","1000006863.64","0","","max-age=604801","0","211011_ZF_3R","-1","LOWEST","22171","","-1","481","100","-1","100","604801","2966","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/download-icon.gif","-1","22171","","ssl/assets.nflxext.com:443","image/gif","Low","","Mon, 18 Oct 2021 19:57:43 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","22492","1000006863.64","","100","1","-1","","-1","https://www.netflix.com/cz-en/","-1","272","/ffe/siteui/acquisition/ourStory/fuji/desktop/download-icon.gif","-1","56788","GET","-1","-1","","200","-1","","","3485","2966","3447","3447","3485","38","2966","3485","519","23","24","1","0","","","","","22171","","","","","","","",
"54.74.73.31","3","1433","537","1000006863.71","","","no-cache, no-store, max-age=0, must-revalidate","-1","211011_ZF_3R","-1","MEDIUM","","","-1","537","-1","-1","-1","","3063","","HTTP/2","-1","3","https://www.netflix.com/personalization/log","-1","0","","","","High","26480","0","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","www.netflix.com","380","1000006863.71","","100","1","-1","","-1","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-js-v080e06a5/js/js/signup%7Cnmhp%7CnmhpFrameworkClient.js/2/0a3c022R2K2T052H2X3b070k003d2W372O2Z2U362L2Y2-2M2E01380M/l/true/none","-1","124","/personalization/log","-1","","POST","-1","-1","","200","-1","","","3600","3063","3600","3600","3600","0","3063","3600","537","24","25","1","0","11","220","True","0","","","","","","send","","",
"45.57.91.1","3","405","446","1000006863.65","","","max-age=604801","-1","211011_ZF_3R","-1","LOWEST","","","-1","326","-1","-1","-1","","3448","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/video-tv-0819.m4v","-1","270046","","ssl/assets.nflxext.com:443","video/x-m4v","Low","","Mon, 18 Oct 2021 19:57:44 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","48412","1000006863.65","","-1","1","-1","","-1","https://www.netflix.com/cz-en/","-1","270","/ffe/siteui/acquisition/ourStory/fuji/desktop/video-tv-0819.m4v","-1","56784","GET","-1","-1","","206","-1","","","3894","3448","3774","3774","3894","120","3448","3894","446","25","26","1","0","","","","","48412","","","","","","","",
"104.16.148.64","0","365","932","1000006863.72","","","public, max-age=691200","100","211011_ZF_3R","-1","LOWEST","","","-1","306","0","-1","-1","-1791487","3465","","HTTP/2","100","3","https://cdn.cookielaw.org/scripttemplates/6.6.0/otBannerSdk.js","-1","73082","73082","","application/javascript","Low","7620","Tue, 19 Oct 2021 19:57:43 GMT","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","cdn.cookielaw.org","73393","1000006863.72","0","100","1","-1","","-1","https://cdn.cookielaw.org/scripttemplates/otSDKStub.js","-1","179","/scripttemplates/6.6.0/otBannerSdk.js","-1","","GET","-1","-1","","200","-1","gzip","Cloudflare","4397","3465","3771","3771","4397","626","3465","4397","932","26","27","1","0","3","147","True","0","345623","","","7","9","se.jsonp","","",
"45.57.91.1","3","405","533","1000006863.66","","","max-age=604801","-1","211011_ZF_3R","-1","LOWEST","","","-1","443","-1","-1","-1","","3486","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/video-devices.m4v","-1","266160","","ssl/assets.nflxext.com:443","video/x-m4v","Low","","Mon, 18 Oct 2021 19:57:44 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","48412","1000006863.66","","-1","1","-1","","-1","https://www.netflix.com/cz-en/","-1","272","/ffe/siteui/acquisition/ourStory/fuji/desktop/video-devices.m4v","-1","56788","GET","-1","-1","","206","-1","","","4019","3486","3929","3929","4019","90","3486","4019","533","27","28","1","0","","","","","48412","","","","","","","",
"45.57.91.1","0","457","539","1000006863.73","","","max-age=604801","-1","211011_ZF_3R","-1","LOWEST","","","-1","525","-1","-1","-1","","3901","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/video-tv-0819.m4v","-1","7902","","ssl/assets.nflxext.com:443","video/x-m4v","Low","","Mon, 18 Oct 2021 19:57:44 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","8258","1000006863.73","","-1","1","-1","","-1","https://www.netflix.com/cz-en/","-1","271","/ffe/siteui/acquisition/ourStory/fuji/desktop/video-tv-0819.m4v","-1","56786","GET","-1","-1","","206","-1","","","4440","3901","4426","4426","4440","14","3901","4440","539","28","29","1","0","","","","","7902","","","","","","","",
"45.57.91.1","0","457","692","1000006863.74","","","max-age=604801","-1","211011_ZF_3R","-1","LOWEST","","","-1","589","-1","-1","-1","","4036","443","http/1.1","-1","3","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/fuji/desktop/video-devices.m4v","-1","4016","","ssl/assets.nflxext.com:443","video/x-m4v","Low","","Mon, 18 Oct 2021 19:57:45 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","assets.nflxext.com","4372","1000006863.74","","-1","1","-1","","-1","https://www.netflix.com/cz-en/","-1","269","/ffe/siteui/acquisition/ourStory/fuji/desktop/video-devices.m4v","-1","56782","GET","-1","-1","","206","-1","","","4728","4036","4625","4625","4728","103","4036","4728","692","29","30","1","0","","","","","4016","","","","","","","",
