"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"188.125.72.139","","435","259","1000003214.38","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","259","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.38","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2900","2641","2900","2900","2900","0","2641","2900","259","23","24","1","0","19","110","True","17","","","","","","","",
"188.125.72.139","","435","257","1000003214.40","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","257","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.40","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2898","2641","2898","2898","2898","0","2641","2898","257","24","25","1","0","21","110","True","19","","","","","","","",
"188.125.72.139","","435","257","1000003214.42","","","no-store, no-cache, private, max-age=0","-1","211011_2K_3D","-1","IDLE","","","-1","257","-1","-1","-1","","2641","","HTTP/2","-1","3","https://csp.yahoo.com/beacon/csp?src=guce","-1","94","","","","VeryLow","","-1","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","csp.yahoo.com","94","1000003214.42","","-1","1","-1","","-1","","-1","199","/beacon/csp?src=guce","-1","","POST","-1","-1","","204","-1","","","2898","2641","2898","2898","2898","0","2641","2898","257","25","26","1","0","23","110","True","21","","","","","","","",
"87.248.118.23","","385","45","1000003214.29","0","","","0","211011_2K_3D","-1","LOWEST","42","","-1","45","0","-1","100","0","2696","","HTTP/2","-1","3","https://dns-1cycukmli.sombrero.yahoo.net/pixel.gif","-1","42","","","image/gif","Low","","","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","dns-1cycukmli.sombrero.yahoo.net","268","1000003214.29","","100","1","-1","","-1","","-1","166","/pixel.gif","-1","","GET","-1","-1","","200","-1","","","2741","2696","2741","2741","2741","0","2696","2741","45","26","27","1","0","15","","","","","42","","","","","",
"87.248.118.74","","377","51","1000003214.25","","","no-store","-1","211011_2K_3D","2683","LOWEST","","","-1","51","-1","2683","-1","","2802","443","HTTP/2","-1","3","https://v-beytc356su.wc.yahoodns.net/i.gif","2802","212","","ssl/v-beytc356su.wc.yahoodns.net:443","","Low","","","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","v-beytc356su.wc.yahoodns.net","212","1000003214.25","","-1","1","2633","","-1","","46","321","/i.gif","2729","52360","GET","50","2729","","204","73","","","2853","2802","2853","2853","2853","0","2633","2853","220","27","28","1","0","","","","","","","","","","","",
"87.248.118.22","","398","54","1000003214.33","0","","public, max-age=86400","0","211011_2K_3D","2695","LOWEST","42","","-1","53","50","2695","100","59128","2810","443","HTTP/2","-1","3","https://cerebro.edna.yahoo.net/noquery/pixel.gif?rand=fqtwr6b9i","2810","42","","ssl/cerebro.edna.yahoo.net:443","image/gif","Low","","","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","cerebro.edna.yahoo.net","541","1000003214.33","","100","1","2639","","-1","","43","324","/noquery/pixel.gif?rand=fqtwr6b9i","2738","33544","GET","56","2738","","200","72","","","2864","2810","2863","2863","2864","1","2639","2864","225","28","29","1","0","1","147","True","0","","42","","","","","",
"99.86.245.183","","395","56","1000003214.31","0","","","100","211011_2K_3D","2698","LOWEST","42","","-1","55","0","2698","100","0","2820","443","HTTP/2","-1","3","https://d1vl8wytztdz.cloudfront.net/pixel.gif?rand=7hzjhyu0t","2820","42","","ssl/d1vl8wytztdz.cloudfront.net:443","image/gif","Low","","","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","d1vl8wytztdz.cloudfront.net","403","1000003214.31","","100","1","2638","","-1","","63","326","/pixel.gif?rand=7hzjhyu0t","2762","35458","GET","60","2761","","200","58","","Amazon CloudFront","2876","2820","2875","2875","2876","1","2638","2876","237","29","30","1","0","1","147","True","0","","42","","","","","",
"8.249.60.20","","392","60","1000003214.37","0","","max-age=31536000","100","211011_2K_3D","2733","LOWEST","43","","-1","60","100","2733","100","1555412","2837","443","http/1.1","-1","3","https://vop-yahoo.secure.footprint.net/pixel.gif?rand=vc49t2ljj","2837","43","","ssl/vop-yahoo.secure.footprint.net:443","image/gif","Low","","Sat, 11 Dec 2021 16:03:59 GMT","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","vop-yahoo.secure.footprint.net","914","1000003214.37","","100","1","2690","","-1","","50","343","/pixel.gif?rand=vc49t2ljj","2783","51610","GET","43","2783","","200","54","","Level 3","2897","2837","2897","2897","2897","0","2690","2897","207","30","31","1","0","","","","","","43","","","","","",
"152.195.132.116","","385","54","1000003214.39","0","","","100","211011_2K_3D","2769","LOWEST","43","","-1","54","0","2769","100","0","2886","443","http/1.1","-1","3","https://edgecast-vod.yahoo.net/pixel2.gif?rand=rw6pc77ia","2886","43","","ssl/edgecast-vod.yahoo.net:443","image/gif","Low","","","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","edgecast-vod.yahoo.net","600","1000003214.39","","100","1","2699","","-1","","49","345","/pixel2.gif?rand=rw6pc77ia","2818","52672","GET","70","2818","","200","68","","Amazon CloudFront","2940","2886","2940","2940","2940","0","2699","2940","241","31","32","1","0","","","","","","43","","","","","",
"92.122.48.50","","385","45","1000003214.41","0","","max-age=23225828","100","211011_2K_3D","2766","LOWEST","43","","-1","45","100","2766","100","23225828","2892","443","http/1.1","-1","3","https://vop-yahoo.akamaized.net/pixel.gif?rand=r2oykrrd4","2892","43","","ssl/vop-yahoo.akamaized.net:443","image/gif","Low","","","-1","-1","other","3CDD47425880D0A808436663E8C40F9C","vop-yahoo.akamaized.net","1096","1000003214.41","","100","1","2707","","-1","","42","344","/pixel.gif?rand=r2oykrrd4","2808","44320","GET","59","2808","","200","84","","Akamai","2937","2892","2937","2937","2937","0","2707","2937","230","32","33","1","0","","","","","","43","","","","","",
