"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","score_progressive_jpeg","jpeg_scan_count","cpu.FunctionCall","initiator_function",
"203.205.224.59","2852","395","221","1000020334.86","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","700","","-1","221","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/v3/static/images/pic/service/pic02.gif","-1","700","","","image/gif","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","1361","1000020334.86","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/images/pic/service/pic02.gif","-1","","GET","-1","-1","","200","-1","","","3539","3318","3539","3539","3539","0","3318","3539","221","20","21","1","0","19","147","True","700","","17","","","","","","",
"203.205.224.59","2855","395","249","1000020334.87","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","1843","","-1","249","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/v3/static/images/pic/service/pic03.gif","-1","1843","","","image/gif","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","2522","1000020334.87","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/images/pic/service/pic03.gif","-1","","GET","-1","-1","","200","-1","","","3567","3318","3567","3567","3567","0","3318","3567","249","21","22","1","0","21","147","True","1843","","19","","","","","","",
"203.205.224.59","2858","395","260","1000020334.88","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","1828","","-1","259","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/v3/static/images/pic/service/pic04.gif","-1","1828","","","image/gif","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","2501","1000020334.88","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/images/pic/service/pic04.gif","-1","","GET","-1","-1","","200","-1","","","3578","3318","3577","3577","3578","1","3318","3578","260","22","23","1","0","23","147","True","1828","","21","","","","","","",
"203.205.224.59","2861","395","260","1000020334.89","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","1724","","-1","260","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/v3/static/images/pic/service/pic05.gif","-1","1724","","","image/gif","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","2397","1000020334.89","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/images/pic/service/pic05.gif","-1","","GET","-1","-1","","200","-1","","","3578","3318","3578","3578","3578","0","3318","3578","260","23","24","1","0","25","147","True","1724","","23","","","","","","",
"203.205.224.59","2864","395","264","1000020334.90","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","1947","","-1","264","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/v3/static/images/pic/service/pic07.gif","-1","1947","","","image/gif","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","2622","1000020334.90","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/images/pic/service/pic07.gif","-1","","GET","-1","-1","","200","-1","","","3582","3318","3582","3582","3582","0","3318","3582","264","24","25","1","0","27","147","True","1947","","25","","","","","","",
"203.205.224.59","2867","395","271","1000020334.91","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","1940","","-1","271","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/v3/static/images/pic/service/pic08.gif","-1","1940","","","image/gif","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","2612","1000020334.91","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/images/pic/service/pic08.gif","-1","","GET","-1","-1","","200","-1","","","3589","3318","3589","3589","3589","0","3318","3589","271","25","26","1","0","29","147","True","1940","","27","","","","","","",
"203.205.224.59","2870","395","272","1000020334.92","0","","max-age=86400","0","211011_X6_38","-1","LOWEST","2093","","-1","272","50","-1","100","86400","3318","","HTTP/2","-1","3","https://statics.itc.cn/web/v3/static/images/pic/service/pic09.gif","-1","2093","","","image/gif","Low","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","2767","1000020334.92","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/images/pic/service/pic09.gif","-1","","GET","-1","-1","","200","-1","","","3590","3318","3590","3590","3590","0","3318","3590","272","26","27","1","0","31","147","True","2093","","29","","","","","","",
"203.205.224.59","440","343","96","1000020334.15","0","","max-age=600","0","211011_X6_38","-1","LOWEST","3093","","-1","90","0","3275","100","600","3404","80","http/1.1","-1","3","http://statics.itc.cn/sohu-homepage/oldentrancetwo.png","-1","3093","","statics.itc.cn:80","image/png","Low","","Mon, 11 Oct 2021 19:35:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","3983","1000020334.15","","100","0","-1","","-1","https://www.sohu.com/","129","300","/sohu-homepage/oldentrancetwo.png","-1","43570","GET","-1","3404","","200","-1","","","3500","3404","3494","3494","3500","6","3275","3500","225","27","28","1","0","","","","3093","","","","","","","","",
"52.169.150.217","2878","337","177","1000020334.93","15200","","max-age=5184000","0","211011_X6_38","-1","LOWEST","19256","","-1","108","100","3318","21","5184000","3445","80","http/1.1","-1","3","http://www.sohu.com/upload/images/server/ghs.png","-1","19256","","www.sohu.com:80","image/png","Low","","Sat, 13 Nov 2021 07:24:28 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","www.sohu.com","19679","1000020334.93","","100","0","-1","","-1","https://www.sohu.com/","126","356","/upload/images/server/ghs.png","-1","60700","GET","-1","3444","","200","-1","","","3622","3445","3553","3553","3622","69","3318","3622","303","28","29","1","0","","","","19256","","","","","","","","",
"203.205.224.59","2914","345","54","1000020334.204","0","","max-age=600","0","211011_X6_38","-1","LOWEST","4214","","-1","47","0","-1","100","600","3623","80","http/1.1","-1","3","http://statics.itc.cn/sohu-homepage/oldentrancetwobg.png","-1","4214","","statics.itc.cn:80","image/png","Low","","Mon, 11 Oct 2021 19:35:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","5173","1000020334.204","","100","0","-1","","-1","https://www.sohu.com/","-1","300","/sohu-homepage/oldentrancetwobg.png","-1","43570","GET","-1","-1","","200","-1","","","3677","3623","3670","3670","3677","7","3623","3677","54","29","30","1","0","","","","4214","","","","","","","","",
"203.205.224.59","657","434","68","1000020334.17","0","","max-age=7776000","0","211011_X6_38","-1","MEDIUM","4608","","-1","67","100","-1","100","7776000","3647","","HTTP/2","-1","3","https://p7.itc.cn/c_fill,w_300,h_135,g_face,q_70/images01/20211011/96126d5cfb124a6d87930acd6cdf1f7b.jpeg","-1","4608","","","image/jpeg","Low","","Sun, 09 Jan 2022 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","p7.itc.cn","5057","1000020334.17","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/c_fill,w_300,h_135,g_face,q_70/images01/20211011/96126d5cfb124a6d87930acd6cdf1f7b.jpeg","-1","","GET","-1","-1","","200","-1","","","3715","3647","3714","3714","3715","1","3647","3715","68","30","31","1","0","33","","","4608","","","","","50","1","","",
"203.205.224.59","741","434","62","1000020334.18","0","","max-age=7776000","0","211011_X6_38","-1","LOWEST","4727","","-1","61","100","-1","100","7776000","3662","","HTTP/2","-1","3","https://p9.itc.cn/c_fill,w_300,h_135,g_face,q_70/images01/20211011/a8791b26725945a9b409c2c6ea80c4a8.jpeg","-1","4727","","","image/jpeg","Low","","Sun, 09 Jan 2022 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","p9.itc.cn","5126","1000020334.18","","100","1","-1","","-1","https://www.sohu.com/","-1","182","/c_fill,w_300,h_135,g_face,q_70/images01/20211011/a8791b26725945a9b409c2c6ea80c4a8.jpeg","-1","","GET","-1","-1","","200","-1","","","3724","3662","3723","3723","3724","1","3662","3724","62","31","32","1","0","35","","","4727","","","","","50","1","","",
"203.205.224.59","2978","346","68","1000020334.102","","","max-age=3600","0","211011_X6_38","3488","LOW","","","-1","68","50","3488","-1","3600","3668","443","HTTP/2","100","3","https://images.sohu.com/bill/default/sohu-require.js","3668","6136","6136","ssl/images.sohu.com:443","application/javascript","Medium","","Mon, 11 Oct 2021 20:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","images.sohu.com","6467","1000020334.102","0","100","1","3096","","-1","https://www.sohu.com/","91","366","/bill/default/sohu-require.js","3579","52118","GET","392","3579","","200","89","gzip","","3736","3668","3736","3736","3736","0","3096","3736","640","32","33","1","0","1","183","True","16269","","0","","3","","","21","",
"203.205.224.59","2981","371","74","1000020334.104","","","max-age=3600","0","211011_X6_38","-1","LOW","","","-1","73","50","-1","-1","3600","3668","","HTTP/2","100","3","https://images.sohu.com/bill/s2015/jscript/lib/sjs/matrix/ad/form/delivery.js","-1","2886","2886","","application/javascript","Medium","","Mon, 11 Oct 2021 20:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","images.sohu.com","3168","1000020334.104","0","100","1","-1","","-1","https://www.sohu.com/","-1","366","/bill/s2015/jscript/lib/sjs/matrix/ad/form/delivery.js","-1","","GET","-1","-1","","200","-1","gzip","","3742","3668","3741","3741","3742","1","3668","3742","74","33","34","1","0","3","","","26470","","","","2","","","1","",
"203.205.224.59","2983","371","80","1000020334.105","","","max-age=3600","0","211011_X6_38","-1","LOW","","","-1","79","50","-1","-1","3600","3668","","HTTP/2","100","3","https://images.sohu.com/bill/s2015/jscript/lib/sjs/matrix/pv/pagePVmonitor.js","-1","3133","3133","","application/javascript","Medium","","Mon, 11 Oct 2021 20:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","images.sohu.com","3465","1000020334.105","0","100","1","-1","","-1","https://www.sohu.com/","-1","366","/bill/s2015/jscript/lib/sjs/matrix/pv/pagePVmonitor.js","-1","","GET","-1","-1","","200","-1","gzip","","3748","3668","3747","3747","3748","1","3668","3748","80","34","35","1","0","5","","","24572","","","","3","","","","",
