time,power_consumption.power,url,starttime
2021-11-14T01:01:08.979+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:09.481+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:09.984+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:10.487+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:10.989+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:11.492+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:11.994+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:12.497+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:12.999+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:13.512+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:14.013+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:14.515+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:15.017+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:15.519+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:16.021+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:16.524+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:17.027+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:17.528+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:18.031+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:18.534+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:19.036+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:19.539+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:20.040+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:20.543+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:21.045+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:21.547+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:22.049+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:22.552+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:23.053+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:23.555+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:24.059+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:24.562+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:25.065+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:25.568+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:26.071+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:26.574+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:27.076+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:27.579+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:28.081+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:28.584+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:29.086+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:29.589+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:30.091+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:30.594+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
