_id,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.0.INSTRUCTIONS_RETIRED,groups.core.0.0.LLC_MISSES,groups.core.0.0.time_enabled,groups.core.0.0.time_running,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.1.INSTRUCTIONS_RETIRED,groups.core.0.1.LLC_MISSES,groups.core.0.1.time_enabled,groups.core.0.1.time_running,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.2.INSTRUCTIONS_RETIRED,groups.core.0.2.LLC_MISSES,groups.core.0.2.time_enabled,groups.core.0.2.time_running,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.3.INSTRUCTIONS_RETIRED,groups.core.0.3.LLC_MISSES,groups.core.0.3.time_enabled,groups.core.0.3.time_running,groups.hwpc.0.0.CYCLES,groups.hwpc.0.0.LLC_MISSES,groups.hwpc.0.0.time_enabled,groups.hwpc.0.0.time_running,groups.hwpc.0.1.CYCLES,groups.hwpc.0.1.LLC_MISSES,groups.hwpc.0.1.time_enabled,groups.hwpc.0.1.time_running,groups.hwpc.0.2.CYCLES,groups.hwpc.0.2.LLC_MISSES,groups.hwpc.0.2.time_enabled,groups.hwpc.0.2.time_running,groups.hwpc.0.3.CYCLES,groups.hwpc.0.3.LLC_MISSES,groups.hwpc.0.3.time_enabled,groups.hwpc.0.3.time_running,groups.msr.0.0.APERF,groups.msr.0.0.MPERF,groups.msr.0.0.TSC,groups.msr.0.0.time_enabled,groups.msr.0.0.time_running,groups.msr.0.1.APERF,groups.msr.0.1.MPERF,groups.msr.0.1.TSC,groups.msr.0.1.time_enabled,groups.msr.0.1.time_running,groups.msr.0.2.APERF,groups.msr.0.2.MPERF,groups.msr.0.2.TSC,groups.msr.0.2.time_enabled,groups.msr.0.2.time_running,groups.msr.0.3.APERF,groups.msr.0.3.MPERF,groups.msr.0.3.TSC,groups.msr.0.3.time_enabled,groups.msr.0.3.time_running,groups.rapl.0.3.RAPL_ENERGY_PKG,groups.rapl.0.3.time_enabled,groups.rapl.0.3.time_running,sensor,target,timestamp
61680dff5cffb904bc3bc1e7,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:19.399Z
61680dff5cffb904bc3bc1e8,,,,,,,,,,,,,,,,,,,,,,,,,946639,1664,3459066,3459066,451514,873,1619452,1619452,2011416,6717,2228901,2228901,4376613,16998,8821808,8821808,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:19.399Z
61680e005cffb904bc3bc1e9,,,,,,,,,,,,,,,,,,,,,,,,,448352,1792,8419564,8419564,4922175,44155,29397426,29397426,2938916,15173,11221319,11221319,5785522,64576,9214466,9214466,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:20.401Z
61680e005cffb904bc3bc1ea,,,,,,,,,,,,,,,,,,,,,,,,,25575,345,462087,462087,0,0,149461,149461,0,0,791517,791517,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:20.401Z
61680e005cffb904bc3bc1eb,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:20.401Z
61680e005cffb904bc3bc1ec,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3459066,3459066,870313,2007,2128250,2128250,466176,1266,2625072,2625072,3557607,12825,11288110,11288110,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:20.401Z
61680e005cffb904bc3bc1ed,17082448,283324956,140245798,2391667,4981375247,4981375247,20557983,347766296,242277557,2788228,5009696371,5009696371,14664881,245551021,132294202,1743733,5008596546,5008596546,14128598,238945122,130982896,1727550,5009589284,5009589284,,,,,,,,,,,,,,,,,265485163,527137503,3300271996,5011123724,5011123724,330069823,641526111,3300309096,5011129830,5011129830,229154215,449762727,3300347399,5011121152,5011121152,221870712,431830837,3300202829,5011096602,5011096602,28764798976,5011136831,5011136831,sensor-test,all,2021-10-14T11:01:20.401Z
61680e015cffb904bc3bc1ee,,,,,,,,,,,,,,,,,,,,,,,,,301546,3739,8681238,8681238,6862703,80928,34653621,34653621,515737,8918,11812668,11812668,618761,6571,9969574,9969574,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:21.403Z
61680e015cffb904bc3bc1ef,,,,,,,,,,,,,,,,,,,,,,,,,46644,1152,527478,527478,0,0,149461,149461,0,0,791517,791517,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:21.403Z
61680e015cffb904bc3bc1f0,15204813,252099635,152673213,1868010,5982618620,5982618620,12853341,199172938,98133518,1491891,6010665318,6010665318,13716800,202287506,98171816,1724296,6009644817,6009644817,12835960,199497863,104025834,1438769,6010584411,6010584411,,,,,,,,,,,,,,,,,238669429,472667656,3296506703,6012384315,6012384315,184672953,393106065,3296475933,6012381714,6012381714,187506721,419360602,3296401196,6012351430,6012351430,185712067,393888632,3296558739,6012373330,6012373330,27824750592,6012353072,6012353072,sensor-test,all,2021-10-14T11:01:21.403Z
61680e015cffb904bc3bc1f1,,,,,,,,,,,,,,,,,,,,,,,,,2317993,10879,4746016,4746016,530166,1271,2481013,2481013,2242919,9888,3782822,3782822,226927,646,11470487,11470487,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:21.403Z
61680e015cffb904bc3bc1f2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:21.403Z
61680e025cffb904bc3bc1f3,14448136,238341559,114976659,1850879,6983754443,6983754443,15165196,263844006,127441475,1998055,7011705167,7011705167,16608608,281736972,154193935,2096980,7010757373,7010757373,16486850,340200068,243734694,1821802,7011645428,7011645428,,,,,,,,,,,,,,,,,221458710,441047412,3296777020,7013724533,7013724533,246652839,463338879,3296783806,7013722959,7013722959,265760724,513853356,3296838195,7013710232,7013710232,323969935,508304673,3296772209,7013712230,7013712230,33180352512,7013715588,7013715588,sensor-test,all,2021-10-14T11:01:22.404Z
61680e025cffb904bc3bc1f4,,,,,,,,,,,,,,,,,,,,,,,,,816608,12359,9386303,9386303,6143834,68642,39284938,39284938,1830555,17673,12881755,12881755,936273,13559,10645711,10645711,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:22.404Z
61680e025cffb904bc3bc1f5,,,,,,,,,,,,,,,,,,,,,,,,,35139,762,573250,573250,0,0,149461,149461,0,0,791517,791517,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:22.404Z
