reading_time,power_watts,url,url_opening_time,SUM,COUNT,AVG
2021-11-24T01:03:09.170+05:00,21.51333117,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:09.671+05:00,19.59773719,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:10.172+05:00,22.3302022,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:10.673+05:00,20.49758047,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:11.174+05:00,19.87302185,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:11.675+05:00,20.10218489,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:12.176+05:00,20.784658,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:12.677+05:00,18.51583816,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:13.178+05:00,22.85779625,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:13.679+05:00,18.56618458,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:14.180+05:00,20.32042452,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:14.681+05:00,20.37898861,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:15.182+05:00,23.125335,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:15.683+05:00,18.65133033,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:16.184+05:00,20.11656242,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:16.685+05:00,18.99229155,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:17.186+05:00,21.30121174,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:17.687+05:00,20.14503688,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
